id,hotel_cluster
225,91 48 41 30 42
226,91 48 41 30 42
227,91 48 41 30 42
228,12 48 83 14 30
229,82 76 60 67 12
230,85 57 33 64  6
231,91 48 41 30 42
232,91 48 41 30 42
233,91 48 41 30 42
234, 1 45 79 54 24
235,91 48 41 30 42
236,91 48 41 30 42
237,95 91 48 41 30
238,44 81 36 78 63
239,91 48 41 30 42
240,91 48 41 30 42
241,91 48 41 30 42
242,48 39 42 47 72
243,91 48 41 30 42
244,33 47 91 48 41
245,91 48 41 30 42
246,91 48 41 30 42
247,91 48 41 30 42
248,95 68 91 48 41
249,91 48 41 30 42
250,91 48 41 30 42
251,91 48 41 30 42
252,91 48 41 30 42
253, 6 16 95 55 69
254,91 48 41 30 42
255,91 48 41 30 42
256,91 48 41 30 42
257,91 48 41 30 42
258,70 21 55 56 83
259,72 91 48 41 30
260,91 48 41 30 42
261,50 39 72 91 48
262,76 91 18 41 60
263,57 82  5 23 38
264,55 70 16 95  2
265,33 84 96 73 26
266,91 48 41 30 42
267,97 86 11  6 99
268,91 48 41 30 42
269,20 91 48 41 30
270,48 16 32 28 42
271,15 35 99  8  9
272,78  8 43 35 82
273, 2 38 78 29 89
274,91 48 41 30 42
275,25 99 30 38 64
276,91 48 41 30 42
277,36 67 62 91 48
278,91 48 41 30 42
279,85 57 33 64  6
280,57 82  5 23 38
281,97 86 11  6 99
282,91 48 41 30 42
283,91 48 41 30 42
284,91 48 41 30 42
285, 7 85 25 12 57
286,91 48 41 30 42
287,85 57 33 64  6
288,91 48 41 30 42
289,91 48 41 30 42
290, 1 45 79 54 24
291,91 48 41 30 42
292,21 91  9 13 28
293, 8 99 64 35  9
294, 7 29 46 91 48
295,91 48 41 30 42
296,91 48 41 30 42
297,91 48 41 30 42
298,91 48 41 30 42
299,91 48 41 30 42
300,15 25 29 42 57
301,91 48 41 30 42
302,91 48 41 30 42
303,40 41 56 70 31
304,56 41 70 21 69
305,91 48 41 30 42
306,91 48 41 30 42
307,33 84 96 73 26
308,91 48 41 30 42
309,91 48 41 30 42
310,91 48 41 30 42
311,91 48 41 30 42
312,91 48 41 30 42
313,91 48 41 30 42
314,91 48 41 30 42
315,91 48 41 30 42
316,91 48 41 30 42
317,91 48 41 30 42
318,91 48 41 30 42
319,58 57 85 97 91
320,91 48 41 30 42
321,91 48 41 30 42
322,91 48 41 30 42
323, 5 20 30 36 15
324,85  7 12 15 29
325,91 48 41 30 42
326,36 64  5  6 30
327,56 70 98 17 41
328,91 48 41 30 42
329,56 70 41 55 69
330,76 91 18 41 60
331,21 91 95 99 19
332,16  4 91 48 41
333,91 48 41 30 42
334, 1 45 79 54 24
335,40 20 30 61 91
336,15 25 29 42 57
337,91 48 41 30 42
338,91 48 41 30 42
339,91 48 41 30 42
340,91 48 41 30 42
341,57 12 40 97 50
342,16 41 84 91 48
343,91 48 41 30 42
344,91 48 41 30 42
345,18 71 34 91 84
346,18 59  2 13 91
347,15 47 91 48 41
348,58 64 29 93 91
349,91 48 41 30 42
350,29 91 48 41 30
351,91 48 41 30 42
352,27 80 74 91 48
353,91 48 41 30 42
354,91 48 41 30 42
355,47 61 91 48 41
356,85 57 33 64  6
357,91 48 41 30 42
358,57 82  5 23 38
359,51 17 26 30 84
360, 1 45 79 54 24
361,83 16 48 70  0
362,91 16 95 28 21
363,91 48 41 30 42
364,91 48 41 30 42
365,91 48 41 30 42
366,91 48 41 30 42
367, 2 29 46 64 91
368,25  0  9 21 32
369,91 48 41 30 42
370,91 48 41 30 42
371,91 48 41 30 42
372,91 48 41 30 42
373,11 12 20 37 62
374,91 48 41 30 42
375,91 48 41 30 42
376,91 48 41 30 42
377,91 48 41 30 42
378,91 48 41 30 42
379, 0 21 97 96 98
380,25 11 18 41 83
381,62 18 40 41 57
382,56 41 70 21 69
383,91 48 41 30 42
384, 9 98 76 95 23
385,91 48 41 30 42
386,91 48 41 30 42
387,83  6 18 90 15
388,89 95  6 16 17
389,31 12 99  7  9
390,25 42 91 48 41
391,99 25  2  6 11
392,82 64 46 29 58
393,67 82 30 91 48
394,91 48 41 30 42
395,91 48 41 30 42
396,82 59 91 48 41
397,65 52 87  0 84
398,57 82  5 23 38
399,91 48 41 30 42
400,29 89 64 16 76
401, 6 16 95 55 69
402,34 73 10 15 28
403,91 48 41 30 42
404,56 41 70 21 69
405,82 64 46 29 58
406,91 48 41 30 42
407, 0 21 50 48 41
408,36 67 62 91 48
409, 5 29  3  8 30
410,41  5 91 25 28
411,91 48 41 30 42
412, 8 43 91 48 41
413,91 48 41 30 42
414,91 48 41 30 42
415,34 13 22 59 91
416,91 25 98 94  4
417,47 40 77 91 39
418,48 91 48 41 30
419,18 23 28 76 91
420,95 18 41 91 37
421,91 48 41 30 42
422,68 91 84 91 48
423,91 48 41 30 42
424,91 48 41 30 42
425,78  8 43 35 82
426,97 86 11  6 99
427,36 91 48 41 30
428,15 55 31 50  5
429,91 48 41 30 42
430,15 25 29 42 57
431,59 16  2 14 12
432,91 48 41 30 42
433,91 48 41 30 42
434,36 57 29 77 12
435,91 48 41 30 42
436,82 59 91 48 41
437,82 64 46 29 58
438,36 64  5  6 30
439,59 16  2 14 12
440,91 48 41 30 42
441, 8 99 64 35  9
442,91 48 41 30 42
443,91 48 41 30 42
444,91 48 41 30 42
445,91 48 41 30 42
446,91 48 41 30 42
447,91 48 41 30 42
448,91 48 41 30 42
449,91 48 41 30 42
450,95 37 97 91 48
451,91 48 41 30 42
452,91 48 41 30 42
453,91 48 41 30 42
454,91 48 41 30 42
455,91 48 41 30 42
456,14 91 48 41 30
457,91 48 41 30 42
458,91 48 41 30 42
459,91 40 94 48 13
460, 7 91 48 41 30
461,39 77 91 48 41
462,91 48 41 30 42
463,91 48 41 30 42
464,91 48 41 30 42
465,48 91 48 41 30
466,18 71 34 91 84
467,57 82  5 23 38
468,36 29 81 46 32
469,61 81 12 57 30
470,91 48 41 30 42
471,90 91 48 41 30
472,91 48 41 30 42
473,15 61 64 67 99
474,99  7 94 48 91
475,56 41 70 21 69
476, 0 19 91 48 41
477,36 29 81 46 32
478,91 48 41 30 42
479,91 48 41 30 42
480,91 48 41 30 42
481,11 12 61 29 36
482,91 48 41 30 42
483,36 29 81 46 32
484,29 89 64 16 76
485,13 76 57 35  8
486,99 29 64 91 48
487, 2 29 46 64 91
488,91 48 41 30 42
489,91 48 41 30 42
490,72  4 70 16 26
491,97 86 30 64 25
492,63 61 85 90 34
493,12 40 93 91 48
494,91 48 41 30 42
495,82 64 46 29 58
496,82 58 78 91 48
497,25 42 91 48 41
498,44 48 58 69 91
499,91 48 41 30 42
500,91 48 41 30 42
501,91 48 41 30 42
502,91 48 41 30 42
503, 8 99 64 35  9
504,21 69 26 65 75
505, 1 45 79 54 24
506,91 48 41 30 42
507,34 16 18 48 94
508,91 48 41 30 42
509,56 41 70 21 69
510,91 48 41 30 42
511,96 10 18 31 37
512,91 48 41 30 42
513,91 48 41 30 42
514,59 16  2 14 12
515,91 48 41 30 42
516,91 48 41 30 42
517,97 86 30 64 25
518,91 48 41 30 42
519,91 48 41 30 42
520,21 91  9 13 28
521,70 21 55 56 83
522,91 48 41 30 42
523, 8 99 64 35  9
524,91 48 41 30 42
525,91 48 41 30 42
526,80 83 17 21 23
527,40 41 56 70 31
528,91 48 41 30 42
529,13 59  8 68 76
530,91 48 41 30 42
531,41 31 77 91 48
532,61 81 12 57 30
533,32 12 10 81  7
534,50 13 17 42 91
535,91 48 41 30 42
536,91 48 41 30 42
537,97 86 11  6 99
538,91 48 41 30 42
539,56 37 68 70 83
540,40 25 76  5 11
541,91 48 41 30 42
542,91 48 41 30 42
543, 8 99 64 35  9
544,91 48 41 30 42
545,36 76 77 99 91
546,72  4 94 98  5
547,91 48 41 30 42
548,91 48 41 30 42
549, 1 45 79 54 24
550,91 48 41 30 42
551,91 48 41 30 42
552,91 48 41 30 42
553, 6 16 95 55 69
554,91 48 41 30 42
555,91 48 41 30 42
556,65 52 96 66 87
557,10 18 72 91 48
558, 6 16 95 55 69
559, 7 91 48 41 30
560,36 91 48 41 30
561,36  6 12 46 29
562, 8 99 64 35  9
563,91 48 41 30 42
564,81  2 57 91 48
565, 8 99 64 35  9
566,99 22 25 30 60
567,85 57 33 64  6
568,91 48 41 30 42
569,91 48 41 30 42
570,91 48 41 30 42
571,91 48 41 30 42
572,91 48 41 30 42
573,91 48 41 30 42
574,97 86 11  6 99
575,91 48 41 30 42
576,16 91 48 41 30
577,91 48 41 30 42
578,91 48 41 30 42
579,41 31 77 91 48
580,91 48 41 30 42
581,91 48 41 30 42
582,91 48 41 30 42
583,91 48 41 30 42
584,91 48 41 30 42
585,91 48 41 30 42
586,97 86 11  6 99
587,19 49 91 48 41
588,91 48 41 30 42
589,91 48 41 30 42
590,15 36 46 12 57
591,91 48 41 30 42
592,91 48 41 30 42
593,57 12 40 97 50
594, 4 68 14 16 50
595,91 48 41 30 42
596,91 48 41 30 42
597,40 49 91 48 41
598,41 91 48 41 30
599,91 48 41 30 42
600,36 91 48 41 30
601,56 41 70 21 69
602,43 15 64  2 30
603,91 48 41 30 42
604,91 48 41 30 42
605,46 62 63 91 48
606,91 48 41 30 42
607,91 48 41 30 42
608,36 64  5  6 30
609,91 48 41 30 42
610,91 48 41 30 42
611, 6 91 48 41 30
612,91 48 41 30 42
613,16 41 84 91 48
614,62 36 63 91 48
615,36 64  5  6 30
616, 2 59 99 37  5
617,91 48 41 30 42
618, 0 21 97 96 98
619,91 48 41 30 42
620,91 48 41 30 42
621,91 48 41 30 42
622,63  5 37 69 86
623,29 89 64 16 76
624,91 48 41 30 42
625,91 48 41 30 42
626,68 17 80  0 28
627,91 48 41 30 42
628, 0 21 97 96 98
629,25 42 91 48 41
630,91 48 41 30 42
631,91 48 41 30 42
632,91 48 41 30 42
633, 8 99 64 35  9
634,91 48 41 30 42
635,91 48 41 30 42
636,91 48 41 30 42
637,91 48 41 30 42
638,91 48 41 30 42
639,91 48 41 30 42
640,91 48 41 30 42
641,91 48 41 30 42
642,36 64  5  6 30
643,91 48 41 30 42
644,68 41 90 91 48
645,36 64  5  6 30
646,21  9 18 48 19
647,91 48 41 30 42
648,78 91 48 41 30
649,85 57 33 64  6
650,91 48 41 30 42
651,91 48 41 30 42
652,36 64  5  6 30
653, 0 21 97 96 98
654,91 48 41 30 42
655,30 36 91 48 41
656,91 48 41 30 42
657,91 48 41 30 42
658,40 41 56 70 31
659, 0  5  7  9 41
660,91 48 41 30 42
661, 8 99 64 35  9
662,99 29 64 91 48
663,18 19 59  6 16
664,91 48 41 30 42
665, 6 91 48 41 30
666,91 48 41 30 42
667,29 91 48 41 30
668,39 59 76 23 77
669,37 91 48 41 30
670, 9 98 76 95 23
671, 0 13 92 91 48
672, 0 21 50 48 41
673,56 41 70 21 69
674,62 18 40 41 57
675,91 48 41 30 42
676, 0 21 50 48 41
677, 5 20 30 36 15
678, 5 20 30 36 15
679,36 64  5  6 30
680,10 18 72 91 48
681,91 48 41 30 42
682,91 48 41 30 42
683,91 48 41 30 42
684,72  4 94 98  5
685,47 40 77 91 39
686,47 91 48 41 30
687,91 48 41 30 42
688,91 48 41 30 42
689,91 48 41 30 42
690, 9 98 76 95 23
691,97 86 11  6 99
692,64 25 40 86 75
693,91 48 41 30 42
694,91 48 41 30 42
695,36 62 78 91 48
696, 2 59 99 37  5
697,91 48 41 30 42
698,99 91 48 41 30
699,91 48 41 30 42
700,91 48 41 30 42
701,91 48 41 30 42
702,76 91 18 41 60
703,91 48 41 30 42
704,20 48 83 91 48
705,10 91 48 41 30
706,91 48 41 30 42
707,91 48 41 30 42
708,95 37 97 91 48
709,25 91 48 41 30
710,91 48 41 30 42
711, 5 20 30 36 15
712,36 64  5  6 30
713,91 48 41 30 42
714,62 36 63 91 48
715,91 48 41 30 42
716,91 48 41 30 42
717,56 41 70 21 69
718,91 48 41 30 42
719,91 48 41 30 42
720,57 91 48 41 30
721,56 41 70 21 69
722,85 57 60 46 91
723,63 61 85 90 34
724,15 25 29 42 57
725, 2 59 99 37  5
726,91 48 41 30 42
727,78  8 43 35 82
728,91 48 41 30 42
729,54 17 76 77 91
730,91 48 41 30 42
731,91 48 41 30 42
732,99 29 64 91 48
733,59 16  2 14 12
734,47 99 91 48 41
735,91 48 41 30 42
736,91 48 41 30 42
737,91 48 41 30 42
738,67 46 91 48 41
739,91 48 41 30 42
740,83 55 91 21 68
741, 1 45 79 54 24
742,91 48 41 30 42
743,36  6 12 46 29
744,44 81 36 78 63
745,91 48 41 30 42
746,16 15 32 50 77
747,40 32 50  7 39
748,91 48 41 30 42
749,91 48 41 30 42
750,91 48 41 30 42
751,29 89 64 16 76
752,91 48 41 30 42
753,85 57 33 64  6
754,91 48 41 30 42
755,78  8 43 35 82
756,91 48 41 30 42
757,57 12 40 97 50
758,29 89 64 16 76
759,37 90 91 48 41
760,91 48 41 30 42
761, 0 21 97 96 98
762, 9 68 72 95 16
763,95 37 97 91 48
764,91 48 41 30 42
765, 2 38 78 29 89
766,30 36 91 48 41
767,68 41 90 91 48
768,21 91 95 99 19
769,56 41 70 21 69
770,64 25 40 86 75
771,67 46 91 48 41
772,91 48 41 30 42
773,28 91 48 41 30
774,91 48 41 30 42
775,91 48 41 30 42
776,91 48 41 30 42
777,91 48 41 30 42
778,22 64 91 48 41
779,97 11 91 48 41
780,85 57 33 64  6
781,91 48 41 30 42
782,91 48 41 30 42
783,91 48 41 30 42
784,91 48 41 30 42
785,11 12 20 37 62
786,15 25 29 42 57
787, 9  6 10 64 91
788,91 48 41 30 42
789,91 48 41 30 42
790,51 17 26 30 84
791,76 21 35 75 91
792,91 48 41 30 42
793,39 70 72 40 94
794,18 71 34 91 84
795,85 57 33 64  6
796,12 48 83 14 30
797,62 91 48 41 30
798,91 48 41 30 42
799,91 48 41 30 42
800,91 48 41 30 42
801,97 86 11  6 99
802,91 48 41 30 42
803,91 48 41 30 42
804,36 62 78 91 48
805,91 48 41 30 42
806,91 48 41 30 42
807, 1 45 79 54 24
808,91 48 41 30 42
809,55 91 48 41 30
810,56 41 70 21 69
811,97 86 11  6 99
812,61 81 12 57 30
813,36 57 29 77 12
814,82 58 78 91 48
815,39 70 72 40 94
816, 1 45 79 24 71
817,72  4 70 16 26
818,66  3 31 53 65
819,95 18 41 91 37
820,39 70 72 40 94
821,55 70 16 95  2
822,70 17 72 91 48
823,56 41 70 21 69
824,10 18 72 91 48
825,91 48 41 30 42
826,16 21 92 97 91
827,91 48 41 30 42
828, 6 16 10 15 59
829,99 29 64 91 48
830,91 48 41 30 42
831,91 48 41 30 42
832,91 48 41 30 42
833, 1 45 79 24 71
834,18 71 34 91 84
835,91 48 41 30 42
836, 1 45 79 54 24
837,59 16  2 14 12
838,70 21 55 56 83
839,70 21 55 56 83
840,97 86 30 64 25
841,91 48 41 30 42
842,91 48 41 30 42
843,91 48 41 30 42
844,91 48 41 30 42
845, 6 16 95 55 69
846,25 11 18 41 83
847,91 48 41 30 42
848,83 55 91 21 68
849,78  8 43 35 82
850,91 48 41 30 42
851, 1 45 79 54 24
852,83 16 48 70  0
853,25 91 48 41 30
854,78  3 22  8 30
855,91 48 41 30 42
856,21 91 95 99 19
857,91 48 41 30 42
858,85 57 33 64  6
859,91 48 41 30 42
860,22  9 34 55 91
861,91 48 41 30 42
862,25  2 98 91 48
863,91 48 41 30 42
864,91 48 41 30 42
865,91 48 41 30 42
866,13 76 57 35  8
867,56 41 70 21 69
868,44 48 58 69 91
869,91 48 41 30 42
870,91 48 41 30 42
871,85 57 60 46 91
872,68 69 97 91 48
873,16 21 92 97 91
874, 0 21 50 48 41
875,91 48 41 30 42
876,91 48 41 30 42
877,83 16 48 70  0
878, 2 29 46 64 91
879,91 40 94 48 13
880,68  9 91 48 41
881,36 64  5  6 30
882,91 48 41 30 42
883,91 48 41 30 42
884,91 48 41 30 42
885,91 48 41 30 42
886,91 48 41 30 42
887,91 48 41 30 42
888, 9 68 72 95 16
889,95 18 41 91 37
890,91 48 41 30 42
891,91 48 41 30 42
892,91 48 41 30 42
893,23 91 48 41 30
894,82 64 46 29 58
895, 1 45 79 24 71
896,91 48 41 30 42
897,63  5 37 69 86
898,59 16  2 14 12
899,25 42 91 48 41
900,59 16  2 14 12
901,91 48 41 30 42
902,91 48 41 30 42
903,91 48 41 30 42
904,12 48 83 14 30
905,91 48 41 30 42
906,56 41 70 21 69
907,91 48 41 30 42
908,91 48 41 30 42
909,97 86 11  6 99
910,91 48 41 30 42
911,43 91 48 41 30
912,91 48 41 30 42
913,91 48 41 30 42
914,29 89 64 16 76
915,91 48 41 30 42
916,91 48 41 30 42
917,36 64  5  6 30
918,91 48 41 30 42
919,36 67 62 91 48
920,91 48 41 30 42
921,91 48 41 30 42
922,91 48 41 30 42
923,91 48 41 30 42
924, 7 85 25 12 57
925,91 48 41 30 42
926,70 21 55 56 83
927,91 48 41 30 42
928,17 83 15 37 50
929,91 48 41 30 42
930,54 71 91 48 41
931,23 91 48 41 30
932,36 64  5  6 30
933,91 48 41 30 42
934,91 48 41 30 42
935,61 77 85 91 48
936,39 70 72 40 94
937, 1 45 79 24 71
938,21 69 26 65 75
939,91 48 41 30 42
940,25 42 91 48 41
941,91 48 41 30 42
942,70 41 91 84  4
943,36 57 29 77 12
944,91 48 41 30 42
945,41  0 42 33 11
946,91 48 41 30 42
947,30 60 61 76 91
948,91 48 41 30 42
949,39 70 72 40 94
950,51 59 25 21 91
951,91 48 41 30 42
952,91 48 41 30 42
953,91 48 41 30 42
954,91 48 41 30 42
955, 1 45 79 24 71
956,55 70 16 95  2
957,91 48 41 30 42
958,36 29 81 46 32
959, 6  9 18 42 47
960,36 29 81 46 32
961,57 12 40 97 50
962,99 22 25 30 60
963,91 48 41 30 42
964,80 87 73 55 83
965,91 48 41 30 42
966,91 48 41 30 42
967,91 48 41 30 42
968,91 48 41 30 42
969,91 48 41 30 42
970,91 48 41 30 42
971,91 48 41 30 42
972,46 43 20 78 67
973,91 48 41 30 42
974,21  0 84 19 37
975,91 48 41 30 42
976,91 48 41 30 42
977,91 48 41 30 42
978, 1 45 79 54 24
979,97 86 11  6 99
980,29 89 64 16 76
981,91 48 41 30 42
982,91 48 41 30 42
983,91 48 41 30 42
984,91 48 41 30 42
985,91 48 41 30 42
986,91 48 41 30 42
987,60 91 48 41 30
988,91 48 41 30 42
989,47 61 91 48 41
990,91 48 41 30 42
991,91 48 41 30 42
992,91 48 41 30 42
993,29 89 64 16 76
994,91 48 41 30 42
995,91 48 41 30 42
996,91 48 41 30 42
997,91 48 41 30 42
998,83 16 48 70  0
999,82 76 60 67 12
1000,91 48 41 30 42
1001,29 89 64 16 76
1002,63  5 37 69 86
1003,36  6 12 46 29
1004,91 48 41 30 42
1005,91 48 41 30 42
1006,97 86 11  6 99
1007,91 48 41 30 42
1008,91 48 41 30 42
1009,80 83 17 21 23
1010,57 12 40 97 50
1011,36 67 62 91 48
1012,15 36 46 12 57
1013, 2 22 91 48 41
1014,91 48 41 30 42
1015,30 37  5 51 76
1016,33 83 91 48 41
1017,56 41 70 21 69
1018,13 59  8 68 76
1019,91 48 41 30 42
1020,64 58 37 91 48
1021,91 48 41 30 42
1022,17 37 43 91 48
1023,20 37 55 83 91
1024,91 48 41 30 42
1025,36  6 12 46 29
1026,44 81 36 78 63
1027,39 70 72 40 94
1028,95 18 41 91 37
1029,91 16 95 28 21
1030,83 55 91 21 68
1031,91 48 41 30 42
1032, 1 45 79 24 71
1033,41  1 21 79 91
1034,21  9 18 48 19
1035,30 37  5 51 76
1036, 5 20 30 36 15
1037,91 48 41 30 42
1038,91 48 41 30 42
1039,91 48 41 30 42
1040,84 50  6 55 68
1041,18 71 34 91 84
1042,91 48 41 30 42
1043,19 49 91 48 41
1044, 1 45 79 54 24
1045,91 48 41 30 42
1046,70 41 16 34 48
1047,95 42 77 91 48
1048, 3 30 99 91 48
1049,91 48 41 30 42
1050,91 48 41 30 42
1051, 1 45 79 54 24
1052,91 48 41 30 42
1053,64 91 48 41 30
1054,91 48 41 30 42
1055,91 48 41 30 42
1056,91 48 41 30 42
1057,97 11 91 48 41
1058,91 48 41 30 42
1059,91 48 41 30 42
1060,21  9 18 48 19
1061,21  9 18 48 19
1062,91 48 41 30 42
1063,91 48 41 30 42
1064, 6 16 91 48 41
1065,36 57 29 77 12
1066,91 48 41 30 42
1067,91 48 41 30 42
1068,50 37 91 48 41
1069, 9 98 76 95 23
1070,91 48 41 30 42
1071,56 41 70 21 69
1072, 0 73 91 48 41
1073,95 91 48 41 30
1074,91 48 41 30 42
1075, 1 45 79 54 24
1076,91 48 41 30 42
1077,18 71 34 91 84
1078,70 17 72 91 48
1079, 3 20 30 62 91
1080,18 23 28 76 91
1081,91 48 41 30 42
1082,99 29 64 91 48
1083, 0 21 50 48 41
1084,91 48 41 30 42
1085,69 22 97 91 48
1086,15 36 46 12 57
1087, 0 21 50 48 41
1088, 1 45 79 54 24
1089,91 48 41 30 42
1090,91 48 41 30 42
1091,21 91 95 99 19
1092,91 48 41 30 42
1093,91 48 41 30 42
1094,91 48 41 30 42
1095,85 57 33 64  6
1096,91 48 41 30 42
1097,91 48 41 30 42
1098,83 16 48 70  0
1099, 6 16 95 55 69
1100,12 91 48 41 30
1101, 6 16 95 55 69
1102,91 48 41 30 42
1103,89 95  6 16 17
1104,51 59 25 21 91
1105,68  9 91 48 41
1106,95  4 17 21 33
1107,55 70 16 95  2
1108,91 49  2 97 18
1109,56 33 50 91 48
1110,91 48 41 30 42
1111,91 48 41 30 42
1112,91 48 41 30 42
1113,91 48 41 30 42
1114,56 41 70 21 69
1115,36 91 48 41 30
1116,25 91 48 41 30
1117,81 63 30 92 12
1118,36 64  5  6 30
1119,99 29 64 91 48
1120,30 37  5 51 76
1121, 0 21 50 48 41
1122,91 48 41 30 42
1123, 1 45 79 54 24
1124,36  6 12 46 29
1125,91 48 41 30 42
1126,82 64 46 29 58
1127,82 58 78 91 48
1128,91 48 41 30 42
1129,91 48 41 30 42
1130,81  2 57 91 48
1131,36 67 62 91 48
1132,68 41 90 91 48
1133,91 48 41 30 42
1134,85 57 33 64  6
1135,91 48 41 30 42
1136,91 48 41 30 42
1137,91 48 41 30 42
1138, 8 99 64 35  9
1139,91 48 41 30 42
1140,91 48 41 30 42
1141,32 91 91 48 41
1142,91 48 41 30 42
